Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:30:59,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:31:0,0.72,0.67,-0.26,1.34,-0.55,0.31
2025-02-13,13:31:0,0.72,0.67,-0.26,0.85,-0.49,0.12
2025-02-13,13:31:1,0.72,0.67,-0.26,0.92,-0.49,0.24
2025-02-13,13:31:1,0.72,0.67,-0.26,0.79,-0.49,0.18
2025-02-13,13:31:2,0.72,0.67,-0.26,1.10,-0.49,0.18
2025-02-13,13:31:2,0.72,0.67,-0.26,1.04,-0.55,0.24
2025-02-13,13:31:3,0.72,0.67,-0.26,0.92,-0.49,0.24
2025-02-13,13:31:3,0.72,0.67,-0.26,0.73,-0.55,0.24
2025-02-13,13:31:4,0.72,0.67,-0.26,0.73,-0.49,0.12
2025-02-13,13:31:4,0.72,0.67,-0.26,0.92,-0.43,0.24
2025-02-13,13:31:5,0.72,0.67,-0.26,1.10,-0.49,0.12
2025-02-13,13:31:5,0.72,0.67,-0.26,1.22,-0.43,0.18
2025-02-13,13:31:6,0.72,0.67,-0.26,1.04,-0.49,0.18
2025-02-13,13:31:6,0.72,0.67,-0.26,1.16,-0.49,0.18
2025-02-13,13:31:7,0.72,0.67,-0.26,0.73,-0.49,0.12
2025-02-13,13:31:7,0.72,0.67,-0.26,0.49,-0.49,0.18
2025-02-13,13:31:8,0.72,0.67,-0.26,1.16,-0.55,0.24
2025-02-13,13:31:8,0.72,0.67,-0.26,1.65,-0.49,0.18
2025-02-13,13:31:9,0.72,0.67,-0.26,0.92,-0.31,0.06
2025-02-13,13:31:9,0.72,0.67,-0.26,0.92,-0.49,0.18
2025-02-13,13:31:10,0.72,0.67,-0.26,0.79,-0.49,0.12
2025-02-13,13:31:10,0.72,0.67,-0.26,0.92,-0.49,0.12
2025-02-13,13:31:11,0.72,0.67,-0.26,0.85,-0.43,0.18
2025-02-13,13:31:11,0.72,0.67,-0.26,0.55,-0.49,0.12
2025-02-13,13:31:12,0.72,0.67,-0.26,0.79,-0.49,0.12
2025-02-13,13:31:12,0.72,0.67,-0.26,0.98,-0.49,0.24
2025-02-13,13:31:13,0.72,0.67,-0.26,1.28,-0.49,0.12
2025-02-13,13:31:13,0.72,0.67,-0.26,0.79,-0.49,0.12
2025-02-13,13:31:14,0.72,0.67,-0.26,-0.37,-0.43,-0.12
2025-02-13,13:31:14,0.72,0.67,-0.26,1.65,-0.43,0.24
2025-02-13,13:31:15,0.72,0.67,-0.26,0.55,-0.49,0.18
2025-02-13,13:31:15,0.72,0.67,-0.26,1.34,-0.43,0.18
2025-02-13,13:31:16,0.72,0.67,-0.26,1.10,-0.49,0.24
2025-02-13,13:31:16,0.72,0.67,-0.26,0.79,-0.55,0.18
2025-02-13,13:31:17,0.72,0.67,-0.26,0.92,-0.49,0.12
2025-02-13,13:31:17,0.72,0.67,-0.26,0.18,-0.43,0.06
2025-02-13,13:31:18,0.72,0.67,-0.26,-0.18,-0.49,0.00
2025-02-13,13:31:18,0.72,0.67,-0.26,1.40,-0.49,0.37
2025-02-13,13:31:19,0.72,0.67,-0.26,-0.24,-0.49,0.06
2025-02-13,13:31:19,0.72,0.67,-0.26,1.95,-0.43,0.12
2025-02-13,13:31:20,0.72,0.67,-0.26,1.34,-0.43,0.18
2025-02-13,13:31:20,0.72,0.67,-0.25,0.73,-0.61,0.55
2025-02-13,13:31:21,0.72,0.67,-0.26,1.77,-0.55,0.18
2025-02-13,13:31:21,0.72,0.67,-0.26,0.98,-0.55,0.31
2025-02-13,13:31:22,0.72,0.67,-0.26,0.92,-0.49,0.24
2025-02-13,13:31:22,0.72,0.67,-0.26,1.22,-0.49,0.24
2025-02-13,13:31:23,0.72,0.67,-0.26,1.04,-0.49,0.18
2025-02-13,13:31:23,0.72,0.67,-0.26,0.92,-0.49,0.18
2025-02-13,13:31:24,0.72,0.67,-0.26,0.00,-0.49,0.06
2025-02-13,13:31:24,0.72,0.67,-0.26,0.55,-0.49,0.12
2025-02-13,13:31:25,0.72,0.67,-0.26,1.77,-0.49,0.37
2025-02-13,13:31:25,0.72,0.67,-0.26,0.12,-0.43,0.06
2025-02-13,13:31:26,0.72,0.67,-0.26,0.61,-0.49,0.12
2025-02-13,13:31:26,0.72,0.67,-0.26,0.49,-0.49,0.06
2025-02-13,13:31:27,0.72,0.67,-0.26,0.98,-0.49,0.24
2025-02-13,13:31:27,0.72,0.67,-0.26,0.85,-0.55,0.31
2025-02-13,13:31:28,0.72,0.67,-0.26,0.06,-0.49,0.06
2025-02-13,13:31:28,0.72,0.67,-0.26,0.24,-0.43,-0.12
2025-02-13,13:31:29,0.72,0.67,-0.26,0.06,-0.49,0.18
2025-02-13,13:31:29,0.72,0.67,-0.26,-0.49,-0.49,0.18
2025-02-13,13:31:30,0.72,0.67,-0.26,0.92,-0.49,0.24
2025-02-13,13:31:30,0.72,0.67,-0.26,1.53,-0.49,0.24
2025-02-13,13:31:31,0.72,0.67,-0.26,1.46,-0.43,0.12
2025-02-13,13:31:31,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:31:32,0.72,0.67,-0.26,0.73,-0.49,0.12
